code	product_name	brands	categories	categories_en	ingredients_text	nutriscore_grade	image_url	image_small_url	energy-kcal_100g	fat_100g	carbohydrates_100g	proteins_100g	sugars_100g	salt_100g	fiber_100g	countries_en
8000500310429	Lay's Classic	Lay's	en:snacks,en:potato-crisps	Snacks,Potato crisps	Potatoes, vegetable oil (sunflower, corn, canola), salt	E	https://images.openfoodfacts.org/images/products/800/050/031/0429/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0429/front_en.4.200.jpg	536	34	52	6	0.3	1.2	3.5	United States
5000159461127	Snickers	Mars	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Milk chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, salt, artificial flavors), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor	D	https://images.openfoodfacts.org/images/products/500/015/946/1127/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1127/front_en.4.200.jpg	488	23.85	57.5	7.53	50.5	0.47	3.3	United States
3017620422006	Reese's Peanut Butter Cups	Reese's	en:chocolates,en:chocolate-candies	Chocolates,Chocolate candies	Milk chocolate (sugar, cocoa butter, chocolate, skim milk, milk fat, lactose, soy lecithin, PGPR), peanuts, sugar, dextrose, salt, TBHQ	D	https://images.openfoodfacts.org/images/products/301/762/042/2006/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2006/front_en.4.200.jpg	515	30	55	10	48	0.4	3	United States
7622210645285	Cheetos Crunchy	Cheetos	en:snacks,en:corn-snacks	Snacks,Corn snacks	Enriched corn meal, vegetable oil (corn, sunflower, canola), cheese seasoning, salt, whey, cheddar cheese, buttermilk, natural flavors	E	https://images.openfoodfacts.org/images/products/762/221/064/5285/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5285/front_en.4.200.jpg	519	33	57	8	1	2.5	2	United States
8000500310430	Fritos Original	Fritos	en:snacks,en:corn-snacks	Snacks,Corn snacks	Corn, corn oil, salt	E	https://images.openfoodfacts.org/images/products/800/050/031/0430/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0430/front_en.4.200.jpg	560	35	56	6	0	1.2	3	United States
5000159461128	Hershey's Milk Chocolate	Hershey's	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Sugar, milk, chocolate, cocoa butter, lactose, lecithin (soy), PGPR, vanillin, artificial flavor	D	https://images.openfoodfacts.org/images/products/500/015/946/1128/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1128/front_en.4.200.jpg	535	30	58	7.65	51	0.1	0	United States
3017620422007	Skittles Original	Skittles	en:candies,en:fruit-candies	Candies,Fruit candies	Sugar, corn syrup, hydrogenated palm kernel oil, citric acid, tapioca dextrin, modified corn starch, natural and artificial flavors, colors (red 40, yellow 5, blue 1, yellow 6), sodium citrate	E	https://images.openfoodfacts.org/images/products/301/762/042/2007/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2007/front_en.4.200.jpg	405	4.4	90.7	0.2	70.9	0.02	0	United States
7622210645286	Starburst	Starburst	en:candies,en:fruit-candies	Candies,Fruit candies	Sugar, corn syrup, hydrogenated palm kernel oil, citric acid, tapioca dextrin, modified corn starch, natural and artificial flavors, colors (red 40, yellow 5, blue 1, yellow 6)	E	https://images.openfoodfacts.org/images/products/762/221/064/5286/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5286/front_en.4.200.jpg	408	8.2	82	0	62	0.02	0	United States
8000500310431	Ritz Crackers	Ritz	en:biscuits,en:salted-biscuits	Biscuits,Salted biscuits	Enriched flour, canola oil, sugar, salt, leavening, high fructose corn syrup, soy lecithin, natural flavor	C	https://images.openfoodfacts.org/images/products/800/050/031/0431/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0431/front_en.4.200.jpg	492	22	66	7	7	1.5	2	United States
5000159461129	Goldfish Crackers	Goldfish	en:biscuits,en:salted-biscuits	Biscuits,Salted biscuits	Wheat flour, cheddar cheese, vegetable oils, salt, yeast, paprika extract, annatto extract, natural flavors	B	https://images.openfoodfacts.org/images/products/500/015/946/1129/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1129/front_en.4.200.jpg	460	18	64	10	2	2.5	2.5	United States
3017620422008	Cheez-Its	Cheez-Its	en:biscuits,en:salted-biscuits	Biscuits,Salted biscuits	Enriched flour, vegetable oil, cheese made with skim milk, salt, paprika, yeast, paprika extract, annatto extract	C	https://images.openfoodfacts.org/images/products/301/762/042/2008/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2008/front_en.4.200.jpg	500	25	60	8	1	2	2	United States
7622210645287	Toblerone	Toblerone	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Sugar, cocoa butter, cocoa mass, honey (3%), almonds (1.6%), skimmed milk powder, milk fat, lecithins (soy), egg white, vanillin	D	https://images.openfoodfacts.org/images/products/762/221/064/5287/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5287/front_en.4.200.jpg	525	29.5	58	5.7	51	0.1	0	Switzerland
8000500310432	Haribo Goldbears	Haribo	en:candies,en:gummy-candies	Candies,Gummy candies	Glucose syrup, sugar, gelatin, dextrose, citric acid, fruit and plant concentrates, natural flavors, palm oil, beeswax, carnauba wax	E	https://images.openfoodfacts.org/images/products/800/050/031/0432/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0432/front_en.4.200.jpg	343	0	77	6.9	46	0.05	0	Germany
5000159461130	Welch's Fruit Snacks	Welch's	en:candies,en:fruit-snacks	Candies,Fruit snacks	Corn syrup, sugar, fruit juice concentrate, modified corn starch, gelatin, citric acid, lactic acid, natural and artificial flavors, ascorbic acid, alpha tocopherol acetate, vitamin A palmitate, sodium citrate, coconut oil, carnauba wax, colors (red 40, yellow 5, blue 1)	E	https://images.openfoodfacts.org/images/products/500/015/946/1130/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1130/front_en.4.200.jpg	350	0	80	2	50	0.1	0	United States
3017620422009	Clif Bar Chocolate Chip	Clif Bar	en:energy-bars,en:snack-bars	Energy bars,Snack bars	Organic brown rice syrup, organic rolled oats, organic cane syrup, organic roasted soybeans, organic rice flour, organic date paste, organic cane sugar, organic oat fiber, organic soy flour, organic sunflower oil, organic vanilla extract, sea salt, organic chocolate chips	B	https://images.openfoodfacts.org/images/products/301/762/042/2009/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2009/front_en.4.200.jpg	380	6	44	10	22	0.4	5	United States
7622210645288	Kind Bar Almond & Coconut	Kind	en:energy-bars,en:snack-bars	Energy bars,Snack bars	Almonds, coconut, glucose syrup, honey, rice flour, palm kernel oil, sea salt	B	https://images.openfoodfacts.org/images/products/762/221/064/5288/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5288/front_en.4.200.jpg	500	30	45	10	20	0.3	6	United States
8000500310433	Luna Bar Lemon Zest	Luna	en:energy-bars,en:snack-bars	Energy bars,Snack bars	Protein grain blend (soy protein isolate, organic rolled oats, organic rice flour), organic brown rice syrup, organic cane syrup, palm kernel oil, organic date paste, organic lemon juice concentrate, natural flavors, sea salt, organic lemon oil	B	https://images.openfoodfacts.org/images/products/800/050/031/0433/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0433/front_en.4.200.jpg	380	6	44	9	20	0.35	3	United States
5000159461131	Nature Valley Granola Bar	Nature Valley	en:energy-bars,en:snack-bars	Energy bars,Snack bars	Whole grain oats, sugar, canola oil, rice flour, honey, salt, brown sugar syrup, baking soda, soy lecithin, natural flavor	B	https://images.openfoodfacts.org/images/products/500/015/946/1131/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1131/front_en.4.200.jpg	471	20	65	7	29	0.4	4	United States
3017620422010	Quaker Chewy Granola Bar	Quaker	en:energy-bars,en:snack-bars	Energy bars,Snack bars	Whole grain oats, sugar, canola oil, rice flour, honey, brown sugar syrup, salt, soy lecithin, baking soda, natural flavor	B	https://images.openfoodfacts.org/images/products/301/762/042/2010/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2010/front_en.4.200.jpg	450	18	68	6	25	0.35	3	United States
7622210645289	Pop-Tarts Frosted Strawberry	Pop-Tarts	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Enriched flour, corn syrup, high fructose corn syrup, dextrose, soybean and palm oil, sugar, contains 2% or less of wheat starch, salt, leavening, cornstarch, dried strawberries, gelatin, modified corn starch, citric acid, xanthan gum, natural and artificial flavors, caramel color, red 40, yellow 6	D	https://images.openfoodfacts.org/images/products/762/221/064/5289/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5289/front_en.4.200.jpg	400	10	70	4	33	0.4	1	United States
8000500310434	Belvita Breakfast Biscuits	Belvita	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Whole grain wheat flour, sugar, canola oil, whole grain rolled oats, enriched wheat flour, brown rice flour, whole grain rye flour, salt, baking soda, soy lecithin, natural flavor, cinnamon, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid	B	https://images.openfoodfacts.org/images/products/800/050/031/0434/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0434/front_en.4.200.jpg	450	16	70	7	22	0.5	4	United States
5000159461132	Pepperidge Farm Goldfish	Pepperidge Farm	en:biscuits,en:salted-biscuits	Biscuits,Salted biscuits	Wheat flour, cheddar cheese, vegetable oils, salt, yeast, paprika extract, annatto extract, natural flavors	B	https://images.openfoodfacts.org/images/products/500/015/946/1132/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1132/front_en.4.200.jpg	460	18	64	10	2	2.5	2.5	United States
3017620422011	Rice Krispies Treats	Rice Krispies	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Rice, sugar, corn syrup, fructose, vegetable oil, contains 2% or less of salt, natural flavor, BHT for freshness	D	https://images.openfoodfacts.org/images/products/301/762/042/2011/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2011/front_en.4.200.jpg	400	8	80	2	30	0.5	0	United States
7622210645290	Fruit Roll-Ups	Fruit Roll-Ups	en:candies,en:fruit-snacks	Candies,Fruit snacks	Corn syrup, dried corn syrup, sugar, partially hydrogenated soybean oil, citric acid, sodium citrate, fruit pectin, natural and artificial flavors, monoglycerides, malic acid, vitamin C, colors (red 40, yellow 5, blue 1)	E	https://images.openfoodfacts.org/images/products/762/221/064/5290/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5290/front_en.4.200.jpg	350	0	85	0	50	0.05	0	United States
8000500310435	Gushers	Fruit Gushers	en:candies,en:fruit-snacks	Candies,Fruit snacks	Corn syrup, sugar, pear puree concentrate, modified corn starch, fruit juice concentrate, citric acid, sodium citrate, natural and artificial flavors, ascorbic acid, colors (red 40, yellow 5, blue 1)	E	https://images.openfoodfacts.org/images/products/800/050/031/0435/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0435/front_en.4.200.jpg	350	0	88	0	55	0.05	0	United States
5000159461133	Fruit by the Foot	Fruit by the Foot	en:candies,en:fruit-snacks	Candies,Fruit snacks	Corn syrup, dried corn syrup, sugar, partially hydrogenated soybean oil, citric acid, sodium citrate, fruit pectin, natural and artificial flavors, monoglycerides, malic acid, vitamin C, colors (red 40, yellow 5, blue 1)	E	https://images.openfoodfacts.org/images/products/500/015/946/1133/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1133/front_en.4.200.jpg	350	0	85	0	50	0.05	0	United States
3017620422012	Smartfood White Cheddar Popcorn	Smartfood	en:snacks,en:popcorn	Snacks,Popcorn	Popcorn, vegetable oil (corn, sunflower, canola), white cheddar cheese seasoning, salt, whey, cheddar cheese, buttermilk, natural flavors	C	https://images.openfoodfacts.org/images/products/301/762/042/2012/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2012/front_en.4.200.jpg	500	28	58	8	1	2	4	United States
7622210645291	SkinnyPop Popcorn	SkinnyPop	en:snacks,en:popcorn	Snacks,Popcorn	Popcorn, sunflower oil, salt	B	https://images.openfoodfacts.org/images/products/762/221/064/5291/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5291/front_en.4.200.jpg	387	8	78	12	0	0.5	15	United States
8000500310436	Angie's Boomchickapop Sweet & Salty	Angie's	en:snacks,en:popcorn	Snacks,Popcorn	Popcorn, sunflower oil, cane sugar, sea salt, natural flavor	B	https://images.openfoodfacts.org/images/products/800/050/031/0436/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0436/front_en.4.200.jpg	450	20	65	8	12	0.8	4	United States
5000159461134	Trader Joe's Dark Chocolate	Trader Joe's	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Cocoa mass, sugar, cocoa butter, vanilla extract	C	https://images.openfoodfacts.org/images/products/500/015/946/1134/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1134/front_en.4.200.jpg	550	35	45	6	42	0.01	11	United States
3017620422013	Lindt Excellence 70% Cocoa	Lindt	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Cocoa mass, sugar, cocoa butter, vanilla extract	B	https://images.openfoodfacts.org/images/products/301/762/042/2013/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2013/front_en.4.200.jpg	567	38	32	7	25	0.01	11	Switzerland
7622210645292	Green & Black's Organic Dark Chocolate	Green & Black's	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Organic cocoa mass, organic raw cane sugar, organic cocoa butter, vanilla extract	B	https://images.openfoodfacts.org/images/products/762/221/064/5292/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5292/front_en.4.200.jpg	550	35	45	6	42	0.01	11	United Kingdom
8000500310437	Justin's Almond Butter	Justin's	en:spreads,en:nut-butters	Spreads,Nut butters	Dry roasted almonds, palm oil, sea salt	A	https://images.openfoodfacts.org/images/products/800/050/031/0437/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0437/front_en.4.200.jpg	630	56	18	21	4	0.4	10	United States
5000159461135	Jif Peanut Butter	Jif	en:spreads,en:nut-butters	Spreads,Nut butters	Roasted peanuts, sugar, molasses, fully hydrogenated vegetable oils, salt	D	https://images.openfoodfacts.org/images/products/500/015/946/1135/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1135/front_en.4.200.jpg	588	50	22	25	10	0.6	6	United States
3017620422014	Nutella & Go	Ferrero	en:spreads,en:sweet-spreads	Spreads,Sweet spreads	Sugar, palm oil, hazelnuts (13%), skimmed milk powder (8.7%), fat-reduced cocoa (7.4%), lecithins (soy), vanillin	C	https://images.openfoodfacts.org/images/products/301/762/042/2014/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2014/front_en.4.200.jpg	539	30.9	57.5	6.3	56.3	0.107	0	France
7622210645293	Nutella B-Ready	Ferrero	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Wheat flour, sugar, palm oil, hazelnuts (13%), skimmed milk powder (8.7%), fat-reduced cocoa (7.4%), lecithins (soy), vanillin	D	https://images.openfoodfacts.org/images/products/762/221/064/5293/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5293/front_en.4.200.jpg	520	28	60	6	45	0.3	2	France
8000500310438	Belgian Waffles	Eggo	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Enriched wheat flour, water, vegetable oil, sugar, leavening, eggs, salt, natural flavor	D	https://images.openfoodfacts.org/images/products/800/050/031/0438/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0438/front_en.4.200.jpg	250	8	42	5	8	0.5	1	United States
5000159461136	Nature's Bakery Fig Bar	Nature's Bakery	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Whole wheat flour, fig paste, cane sugar, expeller pressed canola oil, sea salt, baking soda, natural flavor	B	https://images.openfoodfacts.org/images/products/500/015/946/1136/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1136/front_en.4.200.jpg	360	12	68	4	28	0.3	4	United States
